
	,H 0  0  1  1  0  1 ,	H 1  0  0  0  0  1 ,	H 1  1  1  0  0  0 ,	H 0  0  0  1  0  0 ,	H 0  0  0  0  1  0 ,	H 1  1  1  1  0  0 ,	H 0  0  0  0  0  0 ,	H 1  0  0  1  0  1 ,	H 0  0  1  0  0  1 ,	H 1  0  0  0  1  1 ,	H 1  0  0  1  1  1 ,	H 1  1  1  1  1  0 ,	H 1  1  1  0  1  0 ,	H 0  0  0  1  1  0 ,	H 0  1  0  0  0  1 ,	H 0  0  1  0  1  1 ,	H 0  0  1  1  1  1 ,	H 1  1  0  0  0  0 ,	H 1  0  0  0  0  0 ,	H 0  0  0  0  0  1 ,	H 0  0  0  0  1  1 ,	H 1  1  1  1  0  1 ,	H 0  1  0  0  1  1 ,	H 0  1  1  0  0  0 ,	H 0  0  1  0  0  0 ,	H 1  0  0  0  1  0 ,	H 1  1  1  1  1  1 ,	H 1  0  1  1  1  1 ,	H 1  0  1  1  0  1 ,	H 0  1  1  0  1  0 ,	H 0  0  1  0  1  0 ,	H 1  1  0  0  1  0 ,	H 0  1  1  0  0  1 ,	H 0  1  1  1  0  1 ,	H 0  1  0  0  1  0 ,	H 0  1  0  1  0  0 ,	H 0  1  0  1  1  0 ,	H 1  1  0  1  0  1 ,	H 1  1  0  0  0  1 ,	H 0  1  1  1  1  1 ,	H 1  0  1  0  1  0 ,	H 1  0  1  1  1  0 ,	H 1  0  1  1  0  0 ,	H 1  0  1  0  0  0 ,	H 0  1  1  0  1  1 ,	H 1  1  0  1  1  1 ,	H 1  1  0  0  1  1 ,	H 0  1  1  1  0  0 ,	H 1  0  0  1  0  0 ,	H 0  0  0  1  0  1 ,	H 0  1  0  1  0  1 ,	H 1  1  1  0  0  1 ,	H 0  1  0  1  1  1 ,	H 1  1  0  1  0  0 ,	H 0  0  1  1  0  0 ,	H 1  1  0  1  1  0 ,	H 1  0  0  1  1  0 ,	H 1  0  1  0  1  1 ,	H 1  1  1  0  1  1 ,	H 0  0  0  1  1  1 ,	H 0  1  0  0  0  0 ,	H 1  0  1  0  0  1 ,	H 0  1  1  1  1  0 ,	H 0  0  1  1  1  0 ,	
V 0  0  1  1  1  0  1  0  0  1  1  1 ,	7,	0,	0,	5,	1,	2,	0,	0,	1,	0,	4,	0,	0,	1,	9,	0,	3,	1,	1,	1,	6,	0,	4,	3,	1,	0,	0,	0,	0,	1,	3,	0,	3,	14,	2,	2,	3,	0,	1,	1,	3,	1,	4,	1,	1,	2,	0,	3,	3,	3,	0,	2,	0,	6,	1,	2,	0,	0,	4,	0,	1,	0,	2,	0,	
V 1  1  1  1  0  1  1  1  1  0  0  1 ,	1,	7,	0,	1,	0,	1,	1,	0,	5,	1,	0,	0,	4,	1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	5,	1,	1,	0,	0,	0,	0,	0,	1,	1,	0,	1,	0,	4,	0,	3,	0,	3,	1,	3,	0,	1,	0,	0,	0,	0,	1,	0,	1,	0,	0,	0,	1,	2,	0,	0,	0,	0,	0,	0,	0,	
V 0  0  1  0  1  0  0  0  0  0  0  1 ,	104,	30,	8,	34,	16,	14,	10,	10,	19,	20,	38,	18,	21,	31,	20,	19,	7,	24,	11,	15,	15,	6,	32,	71,	10,	12,	31,	34,	13,	9,	20,	13,	31,	38,	33,	12,	15,	16,	17,	14,	37,	12,	34,	13,	53,	20,	7,	9,	49,	33,	11,	44,	9,	29,	10,	30,	18,	15,	18,	17,	14,	30,	13,	15,	
V 1  1  1  1  1  1  1  1  1  1  1  1 ,	0,	0,	0,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	
V 0  1  0  1  0  0  0  0  1  1  1  1 ,	32,	0,	3,	1133,	34,	3,	0,	12,	1,	12,	618,	2,	4,	10,	34031,	92,	2,	2,	1,	2,	3,	1505,	7,	21,	2,	0,	0,	0,	1,	1,	4,	1,	8,	2086,	1,	0,	34,	98,	0,	0,	1,	0,	2,	0,	2,	32,	5,	53,	1,	4,	0,	5,	0,	18397,	1,	2,	53,	0,	1,	1,	2,	320,	4,	811,	
V 0  1  0  1  0  1  1  0  0  0  1  0 ,	13,	37,	1,	8,	3,	1,	18,	2,	12,	2,	1,	0,	11,	0,	3,	6,	2,	4,	6,	14,	0,	2,	1,	27,	1,	5,	19,	15,	2,	2,	1,	9,	11,	6,	5,	0,	5,	2,	25,	9,	31,	4,	5,	4,	29,	1,	3,	1,	8,	10,	16,	9,	1,	2,	2,	14,	9,	1,	5,	2,	1,	1,	0,	1,	
V 1  1  1  1  1  0  0  0  0  1  1  1 ,	12,	0,	1,	62,	3,	0,	1,	0,	6,	18,	3,	0,	119,	0,	2,	20,	0,	1,	1,	1,	1,	1,	0,	51,	0,	2,	0,	1,	0,	1,	0,	1,	2,	9,	0,	0,	1,	0,	1,	0,	5,	1,	2,	0,	2,	1,	0,	1,	0,	2,	0,	0,	2,	10,	0,	20,	159,	1,	1,	0,	0,	10,	0,	16,	
V 1  0  1  1  0  0  0  1  0  1  1  1 ,	15,	1,	0,	71,	1,	2,	2,	0,	3,	8,	0,	1,	10,	1,	11,	7,	1,	0,	0,	6,	0,	2,	0,	24,	0,	1,	2,	1,	1,	1,	0,	0,	6,	26,	0,	1,	4,	0,	1,	2,	1,	2,	3,	0,	1,	2,	0,	2,	0,	1,	1,	5,	0,	15,	1,	4,	17,	1,	2,	2,	0,	9,	1,	9,	
V 0  0  1  1  1  0  1  0  1  1  0  0 ,	15,	1,	2,	3,	0,	5,	2,	0,	3,	0,	5,	0,	3,	1,	1,	3,	1,	3,	2,	1,	2,	0,	3,	9,	1,	0,	5,	2,	1,	2,	2,	1,	8,	6,	4,	2,	3,	3,	1,	4,	6,	1,	9,	0,	11,	1,	1,	1,	3,	1,	1,	2,	1,	3,	0,	2,	6,	1,	1,	0,	2,	2,	2,	2,	
V 0  0  1  0  1  0  0  0  0  0  0  0 ,	154,	491,	47,	36,	24,	40,	495,	14,	87,	35,	22,	21,	238,	24,	6,	41,	23,	54,	83,	59,	21,	11,	21,	207,	30,	68,	358,	322,	18,	17,	16,	81,	58,	32,	50,	24,	15,	8,	499,	243,	355,	22,	37,	232,	309,	7,	24,	9,	193,	50,	455,	175,	60,	12,	55,	242,	50,	66,	28,	34,	31,	29,	17,	19,	
V 0  0  1  1  1  0  1  0  0  1  1  0 ,	16,	2,	1,	4,	0,	1,	3,	1,	7,	1,	3,	1,	1,	3,	1,	2,	4,	1,	2,	1,	3,	1,	2,	4,	0,	1,	4,	3,	2,	1,	2,	3,	9,	7,	1,	0,	2,	0,	3,	1,	2,	2,	3,	0,	8,	4,	0,	1,	5,	2,	3,	2,	2,	1,	1,	4,	0,	0,	2,	3,	0,	1,	1,	1,	
V 1  1  1  1  0  1  1  1  1  0  0  0 ,	3,	331,	0,	1,	1,	1,	29,	0,	18,	2,	0,	0,	82,	1,	0,	0,	1,	1,	4,	4,	0,	0,	0,	18,	0,	1,	0,	7,	0,	0,	0,	1,	2,	0,	0,	0,	0,	0,	39,	8,	56,	2,	2,	0,	9,	1,	0,	0,	0,	0,	2,	2,	0,	0,	1,	9,	4,	0,	2,	0,	0,	0,	1,	2,	
V 0  1  1  0  1  0  0  1  0  1  1  1 ,	6,	1,	1,	11,	0,	5,	0,	0,	0,	1,	5,	1,	0,	3,	10,	0,	0,	0,	0,	1,	3,	2,	2,	6,	1,	2,	1,	0,	0,	0,	1,	2,	4,	15,	1,	0,	3,	0,	0,	1,	2,	0,	3,	0,	3,	1,	1,	2,	3,	4,	0,	1,	0,	4,	0,	0,	2,	0,	1,	1,	0,	3,	3,	2,	
V 1  1  0  1  1  0  1  1  0  0  0  0 ,	6,	3062,	0,	1,	0,	1,	2298,	0,	41,	0,	0,	0,	101,	1,	0,	2,	0,	1,	13,	8,	0,	0,	0,	25,	0,	7,	105,	495,	1,	1,	0,	28,	8,	0,	1,	2,	2,	0,	663,	71,	683,	5,	2,	23,	140,	1,	1,	0,	6,	3,	496,	20,	6,	1,	2,	26,	2,	6,	3,	1,	0,	1,	1,	0,	
V 1  1  1  0  0  0  1  0  1  1  0  1 ,	14,	1,	0,	66,	2,	1,	2,	0,	2,	3,	9,	0,	7,	2,	15,	11,	1,	2,	1,	3,	0,	8,	1,	19,	1,	1,	0,	0,	1,	1,	0,	2,	3,	32,	0,	0,	2,	0,	3,	0,	2,	2,	1,	0,	0,	2,	1,	1,	0,	2,	1,	0,	0,	29,	0,	3,	22,	1,	0,	0,	0,	9,	2,	13,	
V 1  0  1  1  1  0  1  0  1  1  1  0 ,	3,	0,	0,	4,	1,	2,	0,	0,	3,	0,	1,	0,	2,	1,	1,	1,	1,	0,	0,	0,	0,	0,	1,	2,	0,	0,	0,	1,	0,	1,	0,	1,	1,	7,	0,	0,	2,	1,	0,	0,	1,	0,	3,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	2,	0,	0,	5,	0,	1,	0,	0,	2,	0,	0,	
V 1  1  0  0  0  1  0  1  0  1  0  0 ,	21,	33,	5,	7,	1,	3,	15,	1,	12,	4,	0,	3,	15,	3,	0,	5,	6,	2,	5,	12,	2,	3,	3,	20,	2,	4,	25,	26,	5,	1,	0,	7,	12,	5,	2,	2,	5,	2,	30,	10,	48,	5,	6,	7,	46,	3,	4,	5,	7,	9,	9,	16,	1,	5,	4,	12,	7,	2,	1,	3,	2,	4,	4,	3,	
V 0  0  1  0  0  1  0  1  1  1  1  1 ,	7,	0,	1,	10,	0,	8,	1,	3,	2,	0,	78,	7,	1,	7,	1650,	0,	1,	2,	0,	1,	45,	3,	64,	2,	0,	0,	2,	0,	1,	2,	33,	1,	4,	160,	8,	0,	14,	655,	0,	0,	0,	0,	11,	0,	1,	92,	0,	41,	6,	3,	1,	1,	0,	64,	1,	0,	0,	1,	0,	2,	4,	3,	14,	0,	
V 0  1  1  1  0  0  1  1  1  1  0  0 ,	7,	7,	1,	7,	0,	2,	2,	1,	5,	0,	0,	1,	7,	0,	1,	0,	0,	1,	0,	2,	0,	0,	1,	15,	1,	1,	2,	3,	0,	0,	0,	5,	2,	0,	0,	0,	3,	0,	5,	1,	6,	1,	2,	0,	3,	1,	1,	0,	1,	2,	0,	0,	4,	0,	0,	6,	3,	2,	2,	1,	0,	1,	1,	2,	
V 1  0  1  0  1  1  1  1  0  1  0  1 ,	1,	0,	2,	1,	0,	8,	5,	1,	3,	0,	1,	1,	0,	1,	1,	0,	1,	1,	0,	0,	0,	0,	1,	0,	1,	1,	134,	20,	0,	1,	0,	2,	6,	1,	2,	1,	1,	2,	1,	0,	8,	2,	4,	1,	29,	1,	0,	1,	9,	3,	1,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	2,	0,	
V 0  0  1  0  1  1  1  1  1  0  0  1 ,	4,	1,	10,	1,	0,	324,	1,	0,	0,	0,	1,	0,	0,	1,	0,	0,	0,	2,	0,	0,	34,	0,	21,	0,	0,	5,	2122,	137,	1,	0,	8,	2,	6,	1,	3,	1,	1,	3,	1,	0,	1,	2,	7,	1,	80,	5,	0,	0,	80,	23,	5,	5,	0,	1,	1,	0,	1,	1,	1,	1,	171,	1,	8,	0,	
V 0  0  0  0  0  1  1  0  0  0  0  0 ,	130,	66,	1175,	18,	12,	4133,	767,	21,	36,	12,	26,	77,	16,	54,	10,	14,	41,	79,	34,	36,	523,	13,	214,	32,	21,	373,	55826,	8905,	76,	22,	327,	90,	54,	28,	279,	36,	18,	43,	188,	56,	382,	17,	205,	226,	2292,	48,	20,	26,	2658,	668,	4282,	474,	41,	12,	492,	27,	18,	120,	18,	34,	6428,	22,	111,	14,	
V 0  1  1  0  1  0  1  1  0  1  0  1 ,	5,	1,	1,	2,	0,	6,	1,	0,	3,	0,	2,	0,	1,	1,	0,	0,	2,	2,	1,	0,	1,	0,	4,	3,	0,	2,	11,	8,	0,	1,	0,	5,	7,	3,	2,	0,	1,	1,	1,	2,	3,	1,	4,	0,	12,	1,	0,	3,	4,	2,	1,	3,	0,	0,	0,	0,	4,	1,	2,	2,	1,	1,	1,	2,	
V 1  0  0  0  1  0  0  1  0  1  1  0 ,	27,	1,	7,	7,	1,	16,	4,	1,	3,	3,	12,	10,	2,	12,	12,	1,	4,	5,	1,	2,	14,	2,	29,	7,	2,	4,	22,	10,	1,	4,	25,	1,	13,	24,	14,	4,	12,	13,	3,	3,	10,	7,	14,	0,	15,	8,	3,	11,	28,	10,	2,	9,	1,	8,	1,	2,	2,	0,	1,	4,	20,	10,	7,	3,	
V 1  0  0  0  1  1  0  0  1  0  1  1 ,	18,	0,	2,	8,	0,	11,	2,	0,	1,	2,	23,	6,	0,	10,	76,	0,	1,	4,	1,	1,	24,	0,	38,	2,	0,	0,	3,	2,	1,	1,	18,	1,	5,	53,	8,	1,	9,	69,	1,	1,	5,	3,	9,	0,	5,	21,	4,	12,	14,	6,	1,	1,	0,	15,	1,	1,	4,	2,	2,	1,	6,	6,	10,	1,	
V 1  0  1  0  0  0  1  1  1  1  0  1 ,	4,	1,	4,	6,	0,	1,	0,	0,	3,	0,	4,	3,	0,	1,	10,	0,	0,	3,	1,	2,	1,	0,	5,	4,	2,	1,	0,	2,	0,	0,	0,	0,	5,	14,	0,	0,	1,	3,	0,	0,	0,	1,	3,	0,	1,	5,	2,	4,	0,	2,	1,	0,	0,	4,	0,	1,	2,	0,	2,	0,	1,	2,	1,	0,	
V 0  1  0  0  1  0  0  0  1  0  1  1 ,	24,	1,	4,	75,	6,	13,	1,	11,	4,	0,	222,	14,	2,	19,	1986,	3,	1,	5,	1,	3,	17,	27,	60,	9,	1,	4,	6,	4,	3,	2,	35,	1,	8,	363,	5,	3,	27,	299,	1,	3,	3,	2,	30,	0,	8,	95,	3,	71,	12,	5,	0,	7,	3,	303,	0,	2,	1,	3,	4,	4,	7,	32,	11,	4,	
V 0  0  0  0  1  0  0  1  1  0  1  0 ,	32,	2,	40,	13,	3,	600,	3,	12,	4,	2,	60,	42,	5,	31,	123,	2,	8,	13,	3,	2,	945,	4,	420,	8,	5,	5,	348,	24,	13,	9,	431,	4,	23,	68,	95,	4,	25,	644,	4,	2,	9,	2,	82,	3,	53,	175,	8,	60,	238,	38,	8,	15,	1,	12,	5,	3,	2,	4,	3,	4,	655,	5,	79,	1,	
V 0  1  1  0  0  1  1  1  1  0  1  1 ,	3,	1,	1,	2,	0,	1,	0,	0,	2,	0,	0,	0,	0,	1,	1,	0,	0,	1,	0,	1,	2,	0,	1,	2,	1,	2,	3,	3,	1,	1,	0,	0,	5,	3,	1,	1,	2,	0,	0,	1,	3,	0,	4,	0,	2,	0,	1,	0,	2,	2,	0,	1,	0,	0,	1,	0,	1,	0,	0,	0,	1,	1,	2,	0,	
V 0  0  1  0  1  1  1  1  1  0  0  0 ,	7,	9,	66,	3,	0,	919,	27,	1,	3,	1,	0,	2,	0,	4,	1,	0,	5,	4,	4,	0,	18,	0,	11,	2,	2,	16,	31319,	2752,	2,	1,	3,	9,	8,	3,	6,	0,	2,	0,	8,	1,	51,	1,	26,	1,	543,	2,	0,	1,	223,	88,	244,	31,	1,	2,	11,	0,	1,	2,	1,	0,	595,	2,	4,	1,	
V 1  1  0  0  0  1  0  1  0  1  0  1 ,	12,	1,	1,	4,	0,	2,	1,	0,	4,	2,	5,	2,	3,	2,	1,	1,	1,	2,	2,	3,	3,	0,	0,	11,	0,	1,	0,	2,	1,	0,	1,	2,	8,	6,	1,	0,	2,	1,	1,	3,	7,	2,	2,	0,	11,	6,	1,	2,	2,	8,	1,	3,	0,	5,	0,	2,	3,	2,	1,	2,	3,	3,	1,	3,	
V 1  0  0  0  0  0  1  1  1  0  0  1 ,	20,	2,	7,	7,	0,	14,	1,	2,	7,	1,	6,	11,	1,	3,	9,	4,	1,	10,	2,	3,	10,	1,	17,	7,	0,	1,	12,	5,	3,	3,	12,	3,	6,	12,	12,	2,	7,	12,	0,	3,	8,	4,	13,	0,	13,	9,	3,	5,	13,	8,	2,	2,	2,	12,	0,	4,	3,	2,	2,	0,	11,	4,	9,	1,	
V 0  1  1  1  0  0  1  1  1  1  0  1 ,	3,	1,	0,	6,	2,	2,	1,	0,	1,	0,	3,	0,	0,	1,	1,	0,	1,	1,	0,	0,	0,	0,	0,	3,	0,	0,	0,	1,	0,	1,	0,	0,	2,	6,	0,	0,	2,	0,	1,	0,	2,	1,	1,	0,	1,	1,	0,	0,	1,	2,	0,	1,	0,	1,	0,	0,	3,	2,	0,	0,	0,	2,	0,	0,	
V 1  0  1  1  1  0  1  0  1  1  1  1 ,	4,	0,	0,	3,	0,	1,	0,	0,	2,	0,	1,	0,	0,	0,	6,	0,	0,	2,	0,	1,	0,	0,	0,	1,	0,	1,	0,	0,	0,	0,	1,	0,	2,	15,	0,	0,	2,	0,	0,	1,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	5,	0,	0,	1,	0,	0,	0,	0,	0,	1,	0,	
V 0  0  1  1  0  0  1  1  1  1  1  1 ,	3,	0,	2,	10,	0,	2,	0,	0,	0,	0,	8,	0,	0,	1,	109,	0,	1,	0,	2,	1,	1,	0,	3,	1,	0,	0,	1,	2,	0,	0,	0,	2,	1,	37,	1,	0,	5,	7,	0,	0,	1,	1,	3,	0,	0,	4,	0,	5,	1,	1,	2,	0,	0,	21,	0,	0,	1,	0,	0,	0,	0,	2,	3,	0,	
V 1  1  1  0  0  0  1  0  1  1  0  0 ,	20,	6,	0,	39,	6,	2,	1,	2,	10,	23,	1,	0,	118,	2,	2,	7,	4,	1,	3,	5,	0,	1,	4,	64,	0,	1,	0,	3,	1,	4,	0,	4,	8,	4,	0,	0,	6,	1,	5,	3,	8,	3,	1,	1,	4,	1,	3,	2,	0,	6,	0,	1,	0,	10,	0,	30,	68,	1,	3,	0,	0,	17,	3,	13,	
V 1  0  0  0  1  0  0  1  0  1  1  1 ,	18,	2,	2,	9,	0,	10,	1,	2,	2,	0,	18,	6,	0,	9,	89,	1,	2,	1,	3,	3,	22,	2,	38,	2,	0,	0,	5,	1,	2,	0,	15,	2,	8,	55,	4,	0,	9,	79,	1,	2,	3,	1,	11,	0,	5,	22,	3,	16,	15,	3,	1,	3,	0,	13,	0,	0,	0,	1,	0,	1,	8,	5,	9,	1,	
V 1  1  1  0  1  1  1  0  0  1  0  1 ,	1,	3,	0,	0,	0,	0,	0,	0,	2,	1,	0,	0,	2,	1,	0,	0,	0,	1,	0,	0,	0,	0,	0,	3,	1,	0,	2,	1,	0,	0,	0,	2,	5,	1,	0,	0,	1,	0,	2,	2,	8,	1,	2,	1,	3,	0,	0,	0,	1,	3,	2,	1,	0,	2,	0,	0,	1,	1,	0,	0,	0,	0,	2,	0,	
V 1  0  0  1  1  0  1  0  1  0  1  1 ,	8,	1,	0,	4,	0,	3,	2,	0,	3,	0,	2,	0,	1,	2,	7,	2,	0,	2,	2,	0,	3,	1,	4,	2,	0,	0,	1,	0,	0,	1,	0,	0,	5,	14,	3,	1,	2,	1,	2,	1,	3,	1,	7,	0,	1,	4,	1,	2,	1,	3,	0,	1,	1,	3,	0,	0,	3,	0,	1,	2,	1,	2,	0,	2,	
V 1  0  1  1  1  0  0  0  0  0  1  1 ,	19,	14,	1,	26,	8,	2,	5,	1,	10,	16,	3,	0,	203,	0,	0,	30,	1,	2,	2,	3,	0,	0,	0,	78,	3,	2,	1,	3,	0,	0,	2,	1,	4,	10,	0,	0,	6,	0,	3,	4,	9,	6,	4,	1,	2,	2,	1,	0,	2,	2,	2,	2,	1,	8,	0,	46,	87,	0,	4,	0,	0,	13,	1,	7,	
V 0  1  1  0  0  1  0  0  1  1  1  1 ,	21,	1,	1,	116,	4,	1,	2,	1,	1,	1,	125,	0,	2,	2,	2984,	6,	2,	3,	0,	1,	4,	35,	5,	6,	1,	0,	1,	2,	0,	2,	2,	2,	6,	387,	1,	0,	8,	58,	1,	0,	1,	0,	4,	0,	0,	15,	2,	20,	0,	1,	0,	3,	0,	892,	0,	0,	2,	0,	1,	0,	0,	29,	4,	12,	
V 1  0  1  0  0  0  1  1  1  1  0  0 ,	13,	2,	2,	8,	0,	2,	0,	0,	3,	3,	2,	1,	6,	4,	2,	4,	0,	1,	2,	4,	4,	1,	2,	9,	2,	3,	3,	3,	2,	1,	1,	4,	7,	7,	4,	0,	2,	0,	3,	2,	7,	3,	7,	0,	4,	4,	0,	1,	5,	3,	1,	1,	1,	1,	1,	1,	1,	0,	3,	0,	0,	3,	1,	2,	
V 0  1  0  0  1  0  1  1  0  0  0  0 ,	16,	82,	152,	9,	3,	507,	1360,	1,	15,	1,	2,	4,	2,	9,	0,	2,	7,	19,	4,	14,	15,	0,	14,	12,	3,	81,	34694,	10500,	7,	8,	9,	53,	17,	0,	24,	3,	11,	1,	186,	20,	459,	5,	35,	50,	1458,	5,	3,	3,	398,	174,	4161,	120,	6,	4,	64,	4,	4,	33,	2,	6,	446,	3,	8,	4,	
V 0  0  1  0  1  1  0  0  1  1  0  0 ,	27,	4,	7,	8,	2,	19,	3,	1,	3,	1,	25,	7,	1,	15,	17,	1,	2,	7,	4,	5,	29,	2,	27,	11,	1,	4,	26,	10,	3,	2,	29,	3,	7,	22,	13,	0,	8,	16,	1,	3,	7,	3,	28,	1,	29,	10,	2,	9,	34,	16,	0,	11,	4,	6,	4,	3,	3,	1,	4,	4,	15,	2,	16,	4,	
V 0  1  1  1  1  1  1  1  1  0  1  0 ,	0,	2,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	1,	0,	0,	0,	1,	2,	1,	2,	0,	0,	0,	0,	1,	1,	15,	6,	0,	1,	0,	3,	3,	0,	0,	0,	0,	0,	0,	0,	8,	0,	1,	0,	4,	0,	0,	0,	0,	0,	2,	1,	0,	0,	0,	0,	0,	0,	1,	0,	1,	0,	2,	0,	
V 1  0  1  0  1  1  0  0  1  1  1  1 ,	11,	0,	1,	13,	0,	2,	0,	0,	0,	0,	12,	1,	0,	3,	122,	1,	0,	0,	2,	0,	1,	2,	5,	0,	1,	0,	2,	0,	1,	0,	1,	1,	2,	59,	1,	0,	3,	17,	0,	0,	1,	0,	5,	0,	1,	7,	0,	4,	1,	1,	0,	1,	0,	23,	1,	0,	1,	0,	2,	0,	0,	2,	0,	1,	
V 0  1  1  0  0  1  1  1  0  1  0  1 ,	7,	2,	0,	2,	0,	7,	1,	0,	3,	1,	1,	1,	1,	1,	0,	1,	0,	2,	0,	1,	1,	1,	0,	3,	0,	0,	22,	9,	0,	2,	1,	1,	3,	0,	1,	0,	3,	1,	2,	0,	9,	0,	6,	0,	17,	1,	0,	1,	6,	5,	0,	4,	1,	0,	0,	0,	0,	0,	0,	2,	2,	0,	0,	0,	
V 0  0  1  1  0  0  1  1  1  1  1  0 ,	13,	1,	2,	11,	0,	4,	0,	0,	2,	0,	5,	0,	0,	3,	8,	5,	4,	1,	2,	1,	1,	2,	3,	3,	0,	2,	1,	1,	0,	2,	0,	0,	2,	15,	2,	0,	4,	4,	2,	1,	2,	2,	5,	0,	3,	6,	0,	1,	3,	2,	1,	2,	0,	3,	0,	3,	0,	0,	2,	1,	3,	2,	1,	1,	
V 0  0  1  0  1  0  0  1  1  1  1  0 ,	16,	2,	3,	11,	0,	16,	0,	2,	2,	0,	21,	4,	1,	7,	133,	0,	3,	5,	1,	2,	32,	2,	46,	3,	1,	1,	0,	4,	0,	0,	19,	2,	4,	57,	9,	0,	4,	102,	0,	0,	2,	1,	16,	0,	2,	36,	0,	16,	9,	10,	0,	0,	0,	11,	2,	1,	2,	1,	1,	0,	6,	4,	12,	0,	
V 0  0  0  0  1  0  0  1  0  1  0  0 ,	66,	6,	227,	22,	4,	1592,	14,	11,	9,	6,	39,	55,	6,	36,	27,	3,	21,	35,	5,	12,	739,	5,	312,	14,	14,	45,	5024,	471,	25,	7,	387,	13,	28,	28,	159,	18,	17,	142,	8,	6,	39,	9,	130,	18,	378,	51,	12,	30,	848,	175,	79,	110,	6,	11,	60,	4,	7,	15,	7,	13,	2099,	13,	105,	10,	
V 0  0  0  0  0  1  0  1  1  0  1  0 ,	44,	2,	49,	12,	1,	568,	3,	11,	10,	2,	79,	34,	4,	31,	132,	3,	4,	12,	0,	3,	1105,	1,	429,	7,	3,	10,	361,	26,	14,	7,	474,	5,	8,	67,	95,	11,	19,	787,	3,	2,	12,	9,	82,	4,	53,	175,	6,	60,	265,	51,	6,	20,	3,	10,	5,	1,	4,	3,	2,	6,	621,	15,	79,	6,	
V 1  1  0  0  1  0  1  1  0  0  1  1 ,	3,	0,	1,	1,	0,	3,	2,	1,	2,	0,	0,	0,	2,	4,	2,	1,	0,	3,	1,	3,	2,	0,	1,	2,	0,	4,	13,	6,	0,	1,	1,	0,	5,	3,	3,	1,	3,	2,	3,	1,	4,	1,	5,	0,	10,	2,	1,	0,	6,	4,	1,	1,	0,	2,	0,	1,	0,	1,	0,	0,	2,	0,	1,	0,	
V 1  1  1  0  1  1  1  0  1  0  1  1 ,	1,	0,	0,	0,	0,	1,	0,	0,	0,	0,	0,	0,	2,	1,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	0,	1,	0,	1,	0,	0,	1,	1,	0,	0,	0,	0,	0,	0,	2,	1,	1,	0,	3,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	0,	0,	0,	0,	3,	0,	
V 0  0  1  1  1  1  0  1  1  1  1  0 ,	1,	0,	0,	0,	1,	1,	0,	0,	1,	0,	0,	0,	0,	3,	2,	0,	1,	1,	0,	1,	1,	1,	1,	0,	0,	0,	4,	2,	1,	1,	0,	1,	2,	2,	1,	1,	0,	0,	1,	1,	0,	0,	1,	0,	5,	2,	0,	2,	0,	0,	1,	1,	0,	2,	0,	0,	0,	0,	1,	1,	1,	0,	1,	1,	
V 0  1  1  0  0  1  0  0  1  1  1  0 ,	31,	2,	1,	63,	6,	4,	3,	2,	2,	3,	55,	2,	3,	7,	285,	6,	1,	2,	2,	2,	2,	13,	4,	24,	1,	2,	1,	1,	3,	2,	3,	2,	8,	137,	3,	0,	7,	12,	0,	0,	3,	2,	3,	1,	1,	5,	3,	6,	4,	8,	0,	3,	1,	116,	0,	3,	2,	1,	1,	0,	2,	27,	2,	7,	
V 1  1  1  1  0  1  0  0  0  0  0  1 ,	17,	2690,	1,	27,	10,	1,	22,	0,	182,	242,	2,	1,	27741,	2,	0,	50,	2,	1,	31,	14,	0,	0,	3,	503,	1,	4,	1,	1,	0,	0,	1,	7,	8,	0,	0,	0,	2,	0,	127,	90,	52,	8,	0,	3,	4,	0,	2,	0,	1,	2,	4,	2,	1,	1,	1,	903,	1409,	0,	3,	1,	0,	8,	0,	13,	
V 0  0  1  1  1  1  1  1  0  1  1  1 ,	0,	0,	0,	1,	0,	5,	0,	0,	1,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	1,	0,	1,	1,	0,	0,	12,	2,	0,	0,	0,	0,	3,	3,	2,	0,	3,	1,	0,	0,	1,	0,	2,	0,	8,	1,	0,	0,	4,	1,	0,	0,	0,	0,	0,	0,	1,	1,	0,	0,	1,	1,	1,	0,	
